"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","4 Jan 2019","  3.70","165","165","5.50","730","A","5 Jan 2019","3.7 gpa, 165/165/5.5 GRE score, 61% on subject, 2 great LoRs 1 okay, 1 year research experience, 1 poster presentation. Can't win them all!"
"University Of Californa, Los Angeles (UCLA)","Theoretical Chemistry","PhD (F19)","Accepted"," E-mail","5 Jan 2019","  3.87","163","170","3.50","93","I","5 Jan 2019","5 pubs (3 first authorship), 1 talk at a conference. 3 strong RLs. Did a summer research intern at UCLA in 2018."
"University Of North Carolina Chapel Hill (UNC)","Analytical Chemistry","PhD (F19)","Accepted"," E-mail","4 Jan 2019","  3.60","169","165","5.50","","A","5 Jan 2019","Bio/chem double major. 3 years undergrad research at small liberal arts school. Chem tutor and teaching/lab assistant for 3 years. Took several years off for family/to work in industry. 2 strong LOR's, 1 good to strong LOR. GRE: 165 quant, 169 verbal, 5.5 AW. Didn't submit Chem GRE. Submitted app day before the deadline. Notified around 2 o'clock by email! Good luck to those who have yet to hear!"
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","4 Jan 2019","  3.60","163","157","4.00","","U","5 Jan 2019","Shocked!"
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","5 Jan 2019","  3.99","155","169","3.50","920","I","5 Jan 2019","one year research in biochemistry as a research assistant and one year in chemistry as BSc project. GRE sub==99%, 3 great letters of recommendation. No publication. Many awards and honors. Someone should be ashamed!!!"
"University Of Michigan","Theoretical Chemistry","PhD (F19)","Interview"," E-mail","12 Dec 2018","","","","","","I","5 Jan 2019",""
"University Of Chicago","Theoretical Chemistry","PhD (F19)","Rejected"," E-mail","4 Jan 2019","  3.50","155","168","3.50","96","I","5 Jan 2019",""
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Rejected"," Other","5 Jan 2019","","","","","","O","5 Jan 2019","To the international student below, do you have a scholarship (i.e: Fulbright,...etc) as far as I know it's very competitive for international students, and sometimes there are limited funds for international students. I know a lot of international students studying at UCLA (Ph.D. and M.S). Good luck."
"Arizona State University","Chemistry","PhD (F19)","Accepted"," E-mail","5 Jan 2019","  3.29","154","170","3.00","870","I","5 Jan 2019",""
"U Of Chicago","Chemistry","PhD (F19)","Rejected"," E-mail","5 Jan 2019","  3.29","154","170","3.00","870","I","5 Jan 2019",""
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","4 Jan 2019","  4.00","156","160","3.50","830","I","5 Jan 2019",""
"University Of Chicago","Organic Chemistry","PhD (F19)","Rejected"," E-mail","4 Jan 2019","  3.30","153","156","4.00","670","","5 Jan 2019","2 yrs work exp, 1 year research, several awards, manuscript in progress."
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," E-mail","4 Jan 2019","  3.89","155","170","3.00","890","I","5 Jan 2019","3year research in biochemistry, no pub, research interest in chemical biology, cell biology, proteomics, structural biology. I think u chicago may not really fit my interest and is really competitive as I receive other programs interview."
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Rejected"," E-mail","5 Jan 2019","  3.50","170","165","4.00","900","U","4 Jan 2019","High grad GPA 4.0/4.0. High GRE and chem sub. 5 Pubs with 2 first author papers. 1 strong recom and 2 good recoms. 3 undergrad research and 2 grad research.  I'm an international student that's why they reject me. DO NOT expect any offer for international students from UC series. If you get an offer, that means you are the NO.1"
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","4 Jan 2019","  3.86","163","168","6.00","760","A","4 Jan 2019","High GPA and GRE scores, triple major, 3.5 years research, 2 publications (1 in an ACS journal) and a 1st author manuscript being written, research internship in industry, 3 great LoRs and 2 average ones. This was my first choice and I thought I was a great fit, so I'm quite disappointed."
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","5 Jan 2019","","","","","","I","4 Jan 2019",""
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","4 Jan 2019","  4.21","155","165","3.50","","I","4 Jan 2019","Competitive GPA, 2 years U.G. research, 1 internship in industry, 103 TOEFL, 320 GRE, 3 good references (2 from big schools, 1 from big company)"
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," E-mail","4 Jan 2019","","","","","","I","4 Jan 2019","4 years of research (2 in undergraduate, 2 in M.S) with 2 publications as first author. Moderate GPA (weakness), TOEFL 103 (S22), general GRE scores (Verbal 47%), average chem GRE scores. 2 good and 1 okay letters of recommendation."
"Carnegie Mellon University","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.70","158","169","4.50","","I","4 Jan 2019","6 published papers including adv mater, nat comm and small."
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","4 Jan 2019","  3.79","161","166","4.00","720","U","4 Jan 2019","Applied for Pchem. High GPA, great general GRE scores, average chem GRE score, no publications or presentations, 1.5 years of undergraduate research with a well-known PI. Wasn't expecting to get in."
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," E-mail","4 Jan 2019","  3.87","162","168","3.00","900","I","4 Jan 2019","0.5 years of experimental and 1.5 years on theoretical physical chemistry. Applied for theoretical. Toefl 105, speaking 22 (bad). 2 good and 1 okay recommendations (I think). Was one of my top choices, so this hurts."
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","4 Jan 2019","","","","","","A","4 Jan 2019","Reach"
"University Of California, Berkeley","Chemistry","PhD (F19)","Accepted"," Phone","3 Jan 2019","  3.89","161","162","4.50","770","A","4 Jan 2019","Phone call from prof I mentioned in my essay. Did not contact before applying. Research>>> GRE scores
:)"
"The University Of Utah","Chemistry","PhD (F19)","Accepted"," E-mail","2 Jan 2019","","","","","","U","4 Jan 2019",""
"University Of Rochester","Chemistry","PhD (F19)","Accepted"," E-mail","4 Jan 2019","  3.50","151","168","4.00","","U","4 Jan 2019",""
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","30 Dec 2018","  3.50","151","168","4.00","","U","4 Jan 2019",""
"University Of Washington","Chemistry","PhD (F19)","Accepted"," E-mail","26 Dec 2018","  3.50","151","168","4.00","","U","4 Jan 2019",""
"Georgia Institute Of Technology (GaTech)","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","","","","","","I","4 Jan 2019",""
"State University New York (SUNY) Stony Brook","Chemistry","PhD (F19)","Accepted"," E-mail","2 Jan 2019","  3.56","154","167","3.50","","I","4 Jan 2019",""
"University Of California, Berkeley","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","","","","","","I","4 Jan 2019","Email from PI that I have listed in my SOP - had a skype chat with him a week or two ago"
"Columbia University","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","","","","","","I","4 Jan 2019","with Dean's fellowship"
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","  3.30","153","156","4.00","670","A","4 Jan 2019","1yr academic research 2 yrs industrial. several awards, manuscript in progress"
"University Of California Berkeley","Chemistry","PhD (F19)","Accepted"," Phone","3 Jan 2019","  3.96","160","154","4.50","780","A","3 Jan 2019","A super friendly and welcoming phone call notifying me that this particular PI had recommended me for admittance to the chemistry PhD program. Amazing! Told me I should receive a formal letter of acceptance in the next week or two!"
"Columbia University","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","  3.87","162","168","3.00","900","I","3 Jan 2019","0.5 years of experience on photonics, 1 year on protein structure, and 0.5 years on soft matter. Applied for theoretical chemistry. No publication and presentation. 2 good and 1 okay recommendations from the professors I worked with. Toefl R/L/S/W=30/29/22/24, total 105. Annual stipend $39,133 with dean's fellowship, which offers housing."
"Columbia University","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","","","","","","I","3 Jan 2019","Dean's Fellowship"
"Columbia University","Chemistry","PhD (F19)","Accepted"," E-mail","3 Jan 2019","  4.00","170","167","4.50","790","A","3 Jan 2019","Shocked! No publications.  39k stipend and subsidized housing on campus."
"University Of Texas At Austin","Chemical Biology & Medicinal Chemistry","PhD (F19)","Interview"," E-mail","3 Jan 2019","","","","","","A","3 Jan 2019",""
"Stony Brook University","Chemistry","PhD (F19)","Accepted"," E-mail","2 Jan 2019","","","","","","I","3 Jan 2019",""
"University Of California, Berkeley","Chemistry","PhD (F19)","Accepted"," Phone","2 Jan 2019"," ","0","0","0.00","830","U","3 Jan 2019","Surprised me; Received a call from the prof that I mentioned in the PS;
ivy, 4 yrs research, no publications, no presentations (basically nothing in research), good GPA (>4.0) but fair GRE (V"
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018"," ","0","0","0.00","830","U","3 Jan 2019","Receive e-mail from department to inform that I'm in
ivy, 4 yrs research, no publications, no presentations (basically nothing in research), good GPA (>4.0) but fair GRE (V"
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","20 Dec 2018"," ","0","0","0.00","830","U","3 Jan 2019","Receive e-mail from department to check app status;
ivy, 4 yrs research, no publications, no presentations (basically nothing in research), good GPA (>4.0) but fair GRE (V"
"Michigan State University","Chemistry","PhD (F19)","Accepted"," E-mail","2 Jan 2019","","","","","","U","2 Jan 2019",""
"University Of Rochester","Chemistry","PhD (F18)","Accepted"," E-mail","20 Dec 2018","  3.10","155","159","4.50","","U","2 Jan 2019","M.S GPA 4.0 2 years organic chemistry undergraduate research, 1.5 years graduate research, 1.5 years of TAing experience. 3 decent letters of recommendation. 1 paper published, 2 in preparation. Graduated from high school with an A.S of biology/chemistry."
"Trinity College","Chemistry","PhD (F19)","Accepted"," E-mail","26 Dec 2018","  3.86","161","164","5.50","480","A","1 Jan 2019","2 publications, 1 of which first author"
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","1 Jan 2019","  3.87","162","168","3.00","900","I","1 Jan 2019","Top uni in Korea, applied for theoretical chemistry. ~0.5 years of experience on photonics, ~1 year on protein structure, ~0.5 years on soft matter.  No publications, nor any conference presentation. 2 good recommendations, 1 okay, all from the professors I worked under. Toefl R/L/S/W = 30/29/22(bad)/24, total 105."
"University Of Texas At Austin","Chemistry","PhD (F19)","Accepted"," E-mail","17 Dec 2018","  3.83","162","156","4.50","","A","31 Dec 2018",""
"University Of Washington","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.83","162","156","4.50","","A","31 Dec 2018",""
"Emory (Laney Graduate School)","Chemistry","PhD (F19)","Accepted"," E-mail","13 Dec 2018","","","","","","A","31 Dec 2018",""
"University Of Wisconsin - Madison","Chemistry","PhD (F19)","Accepted"," E-mail","31 Dec 2018","","","","","","","31 Dec 2018","Very happy that I got into my top two choices!"
"University Of Wisconsin - Madison","Chemistry (Organic)","PhD (F19)","Accepted"," E-mail","26 Dec 2018","","","","","","A","31 Dec 2018",""
"University Of California, Irvine","Chemistry","PhD (F19)","Accepted"," Phone","30 Dec 2018","","","","","","A","30 Dec 2018","Decent GPA (3.65/4), great letters, 1 JACS, summer spent at international internship. Personal call from POI who I had been in contact with previously"
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," E-mail","31 Dec 2018","","","","","","I","30 Dec 2018",""
"University Of Wisconsin - Madison","Chemistry","PhD (F18)","Accepted"," E-mail","30 Dec 2018","  3.64","167","155","4.00","680","A","30 Dec 2018","Whoops! I accidentally clicked rejected and not accepted! I was accepted, ignore the identical post that says rejected:

Liberal arts college, 3.64 overall GPA, ~3.2 - 3.4 chemistry GPA, mixed GREs (97% V, 58% Q, 59% W, 48% chemistry). Pretty all over the board research experience: full year honors thesis; summer of research on my campus that extended to full year, part-time position; month long, full-time research position during school's winter term. 1 ACS poster presentation pending. No publications. 4 semesters of TA jobs. I mostly applied for catalysis-based labs."
"University Of Wisconsin-Madison","Chemistry","PhD (S19)","Rejected"," E-mail","30 Dec 2018","  3.64","167","155","4.00","680","A","30 Dec 2018","Liberal arts college, 3.64 overall GPA, ~3.2 - 3.4 chemistry GPA, mixed GREs (97% V, 58% Q, 59% W, 48% chemistry).

Pretty all over the board research experience: full year honors thesis; summer of research on my campus that extended to full year, part-time position; month long, full-time research position during school's winter term. 1 ACS poster presentation pending. No publications. 4 semesters of TA jobs.

I mostly applied for catalysis-based labs."
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," E-mail","18 Dec 2018","","","","","","A","29 Dec 2018",""
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","29 Dec 2018","  3.90","155","162","4.00","","A","29 Dec 2018","2.5 yrs research, no pubs, REU"
"University Of Washington","Chemistry","PhD (F19)","Accepted"," E-mail","23 Dec 2018","  3.50","158","157","4.50","","","28 Dec 2018","2 publications"
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018","  3.70","161","170","3.50","860","I","28 Dec 2018",""
"Duke University","Organic Chemistry","PhD (F19)","Accepted"," Website","21 Dec 2018","","","","","","A","28 Dec 2018","1.5 years undergrad research exp, industry internship, 7 semesters TAing, 3 strong letters of rec. with publications coming in future"
"Cornell University","Chemistry","PhD (F19)","Accepted"," E-mail","23 Dec 2018","","","","","","I","28 Dec 2018",""
"University Of Wisconsin-Madison","Organic Chemistry","PhD (F19)","Accepted"," Website","27 Dec 2018","  4.00","161","162","5.00","880","A","27 Dec 2018","1.5 yr ugrad research experience, 1 co-author pub, ACS national meeting presentations, 3 strong LOR, chem education outreach and teaching experiences, grad classes as ugrad"
"University Of Utah","Chemistry","PhD (F19)","Accepted"," E-mail","27 Dec 2018","  3.86","161","161","4.50","","A","27 Dec 2018","Had a masters degree in genetics with good letters of rec"
"Washington University In St. Louis","Chemistry","PhD (F19)","Accepted"," E-mail","27 Dec 2018","  3.79","161","162","4.50","710","A","27 Dec 2018",""
"University Of Utah","Biological Chemistry","PhD (F19)","Interview"," Phone","26 Dec 2018","","","","","","A","27 Dec 2018","Phone call followed by an email. Nice personal touch."
"University Of Utah","Biological Chemistry","PhD (F19)","Interview"," Phone","26 Dec 2018","","","","","","A","26 Dec 2018","2 years UG research, 8 months research tech, both in related fields. 1 poster at regional ACS meeting."
"Rutgers University","Chemistry And Chemical Biology","PhD (F19)","Accepted"," E-mail","24 Dec 2018","  3.92","164","160","5.00","680","A","26 Dec 2018",""
"University Of Rochester","Chemistry","PhD (F19)","Accepted"," E-mail","22 Dec 2018","  4.21","155","165","0.00","","I","25 Dec 2018",""
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","","","","","","A","25 Dec 2018",""
"University Of Michigan","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","A","25 Dec 2018","2.5+ years of research. 2 REU's and many poster presentations awards. Manuscript currently being written with first authorship."
"Ohio State University","Chemistry","PhD (F19)","Accepted"," E-mail","2 Dec 2018","","","","","","A","25 Dec 2018","Awarded Early Offer Fellowship."
"University Of California, San Diego","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.90","169","168","5.50","","A","24 Dec 2018",""
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","19 Dec 2018","","","","","","I","23 Dec 2018",""
"Cornell University","Chemistry","PhD (F19)","Accepted"," E-mail","22 Dec 2018","  3.86","163","168","6.00","","A","23 Dec 2018","Good GPA and GRE scores, 3 years research with 2 publications and a 1st author on the way, triple major, research internship in industry, 3 solid LORs"
"University Of Rochester","Organic Chemistry","PhD (F19)","Accepted"," E-mail","22 Dec 2018","  3.75","155","155","4.00","630","A","22 Dec 2018","Didn't submit subGRE score anywhere. No pubs or REUs. 2 years (and summers) research. 4 poster presentations at conferences (2 ACS regional). Diverse background. PI emailed me."
"University Of Michigan","Chemistry","PhD (F19)","Accepted"," Phone","21 Dec 2018","  3.80","155","164","3.00","670","A","22 Dec 2018",""
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," E-mail","22 Dec 2018","","","","","","I","22 Dec 2018","2 year REU, one first author joc, amazing LORs, GPA 3.98"
"Texas A&M University (TAMU)","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.98","160","166","3.50","860","I","22 Dec 2018","Master’s GPA 4.0; three journal articles of medicinal chemistry."
"Texas A&M University (TAMU)","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.98","160","166","3.50","860","U","22 Dec 2018","Master’s GPA 4.0; three journal articles of medicinal chemistry."
"Texas A&M University (TAMU)","Chemistry","PhD (F19)","Other"," E-mail","21 Dec 2018","  3.90","161","162","4.50","880","I","21 Dec 2018","Was contacted by a professor in the preferred division (inorganic) to notify me about the decision of the department."
"University Of Washington","Organic Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.60","162","159","5.00","","A","21 Dec 2018",""
"Emory University","Chemistry","PhD (F19)","Accepted"," Phone","20 Dec 2018","  3.92","156","155","3.50","","U","21 Dec 2018",""
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018","","","","","","A","21 Dec 2018","Biochemistry Major. 3yrs research. No publications. 2 Conferences. 5 LoR."
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," Phone","21 Dec 2018","  3.90","163","156","4.00","810","A","21 Dec 2018","Summer REU at Caltech. First author JACS (went through after acceptance). Very strong LORs. 3 years research experience."
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.91","159","160","4.00","680","A","21 Dec 2018","Submitted my application on the deadline and recieved an email form professor 5 days later with a informal notice of acceptance. Attended a small liberal arts school.  High GPA, 4 strong letters of rec, good GRE scores (~80th), mediocare Chem GRE (~50th), 1 year of undergraduate research experience, and currently working at a pharma company."
"Arizona State University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","A","21 Dec 2018",""
"Duke University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","U","21 Dec 2018",""
"University Of Texas At Austin","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.73","156","163","4.00","800","A","21 Dec 2018",""
"UC Santa Cruz (UCSC)","Organic Chemistry","PhD (F19)","Interview"," Phone","21 Dec 2018","  3.75","155","155","4.00","630","A","21 Dec 2018","Didn't submit my subject GRE score anywhere. Got a call (missed) and two followup emails. I got invited to fly out and visit the campus before being officially admitted. 2 years research (including summers), strong LORs, diverse background, no publications or REUs."
"University Of Michigan","Chemistry","PhD (F19)","Accepted"," Phone","21 Dec 2018","","","","","","","21 Dec 2018",""
"Carnegie Mellon University","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","","","","","","A","21 Dec 2018","Theoretical chem"
"University Of Minnesota","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","","","","","","A","21 Dec 2018","Theoretical chem"
"Auburn University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","I","21 Dec 2018","No GRE, but have a Master's degree, 2 years research experience (in 3 different labs/subfields), 1 manuscript, freelance teaching experience.
International student, fully funded on TAship (+ tuition covered). Super happy 'cause it was among my top choices."
"University Of Minnesota-Twin Cities","Organic Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  4.00","161","162","5.00","880","A","21 Dec 2018",""
"Colorado State University - Fort Collins","Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.73","156","163","4.00","","A","21 Dec 2018",""
"University Of California, San Diego","Chemistry And Biochemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.90","155","162","4.00","","A","21 Dec 2018","no pubs, 1 REU, 2.5 yrs of research, placed in track not selected"
"Carnegie Mellon University","Physical Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","  3.60","157","163","4.00","740","U","21 Dec 2018","64% GRE Sub. Felt that was bad, especially since I am an international student, but sent it anyways. Chem + Phys. major, 2 letters from two different PI, 1 from famous theoretical chemist. 1.5 years organic chem. research, 0.5 years in theoretical biological physics. 1 research scholarship + 1 travel grant + 1 REU (the biological physics one)."
"University Of Cambridge (UK)","Chemistry","Masters (F19)","Interview"," E-mail","21 Dec 2018","","","","","","A","21 Dec 2018",""
"Cornell University","Chemistry & Chemical Biology","PhD (F19)","Accepted"," Phone","21 Dec 2018","  3.92","164","160","5.00","680","A","21 Dec 2018","personal phone call from professor. 2 years research experience, 2 summer research programs (one at MIT), 4 very strong LORs, various awards in chemistry"
"UC San Francisco (UCSF)","Chemistry & Chemical Biology","PhD (F19)","Interview"," E-mail","20 Dec 2018","  3.92","164","160","5.00","680","A","21 Dec 2018","2 years research experience, 2 summer research programs (one at MIT), 4 very strong LORs, various awards in chemistry"
"Duke University","Analytical Chemistry","PhD (F19)","Accepted"," E-mail","21 Dec 2018","","","","","","A","21 Dec 2018",""
"University Of Illinois, Urbana-Champaign","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","I","21 Dec 2018",""
"University Of California, San Diego","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.79","160","166","4.00","720","U","21 Dec 2018","Submitted my app on the deadline. High GPA, great general GRE scores, average chem GRE score, no publications or presentations, 1.5 years of undergraduate research with a well-known PI. Was assigned to a different track than I selected in my application, which was unexpected."
"University Of Wisconsin Madison","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018","  3.79","160","166","4.00","720","U","21 Dec 2018","Submitted my app a day before the deadline for Pchem. High GPA, great general GRE scores, average chem GRE score, no publications or presentations, 1.5 years of undergraduate research with a well-known PI."
"University Of California, Los Angeles","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","","","","","","A","21 Dec 2018",""
"Stony Brook University (SUNY)","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","I","20 Dec 2018",""
"The Scripps Research Institute","Graduate Program In Chemistry And Biology","PhD (F19)","Interview"," E-mail","20 Dec 2018","  3.60","97","86","98.00","","A","20 Dec 2018",""
"Duke University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.95","157","170","5.00","","U","20 Dec 2018","Got an email telling me to check the portal. 
No publications, ~2 yrs of research exp, contacted and visited POI in advance."
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Interview"," E-mail","19 Dec 2018","","","","","","I","20 Dec 2018","4 publication (1 first author, 1 co-first author paper), 4 domestic patents, 4 years of research experience, 1 oral presentations / Many poster presentation"
"University Of Toronto","Chemistry (Theoretical)","PhD (F19)","Rejected"," E-mail","20 Dec 2018","","","","","","I","20 Dec 2018","1.5 years of diverse computational research, second author manuscript in preparation, top 5% GPA, strong LORs, 90th percentile GRE General and Subject"
"University Of Michigan","Chemistry","PhD (F19)","Accepted"," Phone","21 Dec 2018","  3.93","158","155","5.50","","A","20 Dec 2018","1 first author paper, 3 years of research experience, 3 first author oral presentations, 1 semester of TA experience"
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Interview"," E-mail","20 Dec 2018","","","","","","A","20 Dec 2018","I go to a R1 UC. 1.5 years of research in environmental toxicology, half a year of research in drug discovery. One publication in prep (second to last author tho), 3 strong letter of recs. I've gotten a few academic and research scholarships. Was nervous with all those rejections being sent out, but very excited!"
"Duke University","Chemistry","PhD (F19)","Accepted"," Website","20 Dec 2018","","","","","","A","20 Dec 2018",""
"Stony Brook University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","A","20 Dec 2018",""
"Massachusetts Institute Of Technology (MIT)","Chemistry","PhD (F19)","Accepted"," Phone","20 Dec 2018","  3.90","167","160","5.00","730","A","20 Dec 2018","Co-first author paper, 2.5 years research experience, 2 REU, good LORs"
"Cornell University","Chemistry","PhD (F19)","Accepted"," Phone","20 Dec 2018","  3.79","161","162","4.50","710","A","20 Dec 2018",""
"University Of Illinois (UIUC)","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.08","161","156","5.00","","A","20 Dec 2018",""
"University Of California, San Francisco","Chemistry And Chemical Biology","PhD (F19)","Interview"," E-mail","20 Dec 2018","","","","","","A","20 Dec 2018",""
"Emory (Laney Graduate School)","Organic Chemistry","PhD (F19)","Accepted"," Phone","13 Dec 2018","  4.00","161","162","5.00","880","A","20 Dec 2018","3 strong LOR, 1.5 yr ugrad research exp, high GPA, 1 co-author pub, ACS national meeting presentations, lots of teaching experiences"
"Emory (Laney Graduate School)","Organic Chemistry","PhD (F19)","Accepted"," Phone","20 Dec 2018","  3.75","155","155","4.00","630","A","20 Dec 2018","Strong LORs, 2 years of undergrad research (including summers), lots of chemistry jobs (lab TA, tutor, workshop leader, and student instructor). Four poster presentations. No publications or REUs. Didn't submit subject GRE scores anywhere (Emory doesn't take ANY GRE scores)."
"University Of California, San Francisco","Chemistry And Chemical Biology","PhD (F19)","Rejected"," E-mail","19 Dec 2018","","","","","","A","20 Dec 2018",""
"Stony Brook University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","","","","","","A","20 Dec 2018",""
"University Of California, Irvine","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.90","163","156","4.00","810","A","20 Dec 2018","3 years research experience, 2 summer REUs. Very strong LORs. First author JACS under review."
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018"," ","162","170","4.00","960","I","20 Dec 2018","3 fairly strong LORs, 3 years of research, 3 pubs (2nd author or further down)"
"Texas A&M University","Chemistry","PhD (F19)","Accepted"," E-mail","18 Dec 2018"," ","162","170","4.00","960","I","20 Dec 2018","3 fairly strong LORs, 3 years of research, 3 pubs (2nd author or further down)"
"Yale Graduate School Of Arts And Sciences","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.90","163","156","4.00","810","A","20 Dec 2018","3 years research experience, 2 summer REUs. Very strong LORs. First author JACS under review."
"University Of Toronto","Chemistry (theoretical, Direct Entry)","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  4.00","170","167","4.50","780","A","20 Dec 2018","Conditionally admitted upon completion of Spring 2019 with at least an A-."
"Yale University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Dec 2018","  3.50","168","169","5.00","770","A","20 Dec 2018",""
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","  3.50","168","169","5.00","770","A","20 Dec 2018",""
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","19 Dec 2018","","","","","","I","20 Dec 2018","Portal was updated with offer letter, also awarded external fellowship by department"
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","","","","","","I","20 Dec 2018",""
"University Of Toronto","Organic Chemistry","PhD (F19)","Rejected"," E-mail","20 Dec 2018","  3.81","157","165","3.50","760","I","19 Dec 2018","3 years research experience, Great LORs."
"University Of California, San Francisco","Chemistry And Chemical Biology","PhD (F19)","Rejected"," E-mail","20 Dec 2018","  3.59","152","168","3.50","","I","19 Dec 2018",""
"The Scripps Research Institute","Graduate Program In Chemistry And Biology","PhD (F19)","Interview"," E-mail","20 Dec 2018","  4.00","168","157","4.50","","A","19 Dec 2018","Did not take subject GRE. Previous REU at Scripps La Jolla"
"University Of Chicago","Chemistry","PhD (S19)","Accepted"," Website","19 Dec 2018","  3.40","154","152","4.50","","","19 Dec 2018","v cool"
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Rejected"," E-mail","19 Dec 2018","  3.44","152","165","3.00","","A","19 Dec 2018",""
"Rice University","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","  3.83","162","153","4.50","","A","19 Dec 2018","Call from POI. Three years of research experience, year and a half industry experience. Two publications, one first author, one mid author."
